City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,6.17,77,66,8.67,TF,1741123286
1,tolanaro,-25.0319,46.9987,26.04,94,75,1.03,MG,1741123287
2,guerrero negro,27.9769,-114.0611,20.44,36,17,4.73,MX,1741123288
3,yellowknife,62.456,-114.3525,-9.21,95,100,2.06,CA,1741123290
4,klyuchi,52.2667,79.1667,-7.71,96,100,3.23,RU,1741123095
5,blackmans bay,-43.0167,147.3167,16.07,75,0,3.39,AU,1741123293
6,gadzhiyevo,69.2551,33.3362,-4.86,97,90,3.25,RU,1741123097
7,cochirleanca,45.2167,27.0333,5.98,66,0,3.04,RO,1741123252
8,usogorsk,63.4106,48.6872,-4.39,93,100,4.24,RU,1741123538
9,durban,-29.8579,31.0292,25.51,90,87,4.59,ZA,1741123539
10,ushuaia,-54.8,-68.3,6.81,93,75,2.57,AR,1741123540
11,longyearbyen,78.2186,15.6401,-9.09,62,20,9.77,SJ,1741123542
12,hermanus,-34.4187,19.2345,21.0,89,94,3.61,ZA,1741123543
13,afaahiti,-17.75,-149.2833,26.9,76,19,4.9,PF,1741123544
14,iqaluit,63.7506,-68.5145,-20.15,71,100,6.17,CA,1741123545
15,williston,48.147,-103.618,-3.87,75,100,4.02,US,1741123543
16,kiunga,-6.1219,141.2906,23.31,100,100,0.41,PG,1741123548
17,san antonio de pale,-1.4014,5.6325,27.82,70,100,2.36,GQ,1741123549
18,toliara,-23.35,43.6667,25.61,87,17,0.86,MG,1741123550
19,codrington,-38.2667,141.9667,16.13,59,0,1.74,AU,1741123551
20,benguela,-12.5763,13.4055,25.62,82,99,2.88,AO,1741123552
21,kerema,-7.9631,145.7785,25.89,87,33,1.36,PG,1741123554
22,stanley,54.868,-1.6985,6.01,74,20,4.12,GB,1741123555
23,badger,64.8,-147.5333,-0.05,63,20,3.09,US,1741123556
24,aykhal,66.0,111.5,-37.68,96,5,1.94,RU,1741123557
25,waitangi,-43.9535,-176.5597,11.01,97,100,1.79,NZ,1741123558
26,isafjordur,66.0755,-23.124,-6.51,89,75,8.64,IS,1741123560
27,constantia,44.1833,28.65,0.38,71,0,2.84,RO,1741123446
28,sodankyla,67.4167,26.6,-13.23,98,63,1.33,FI,1741123562
29,wailua homesteads,22.0669,-159.378,26.44,71,20,8.75,US,1741123563
30,nadvoitsy,63.8667,34.3167,-4.3,95,51,2.75,RU,1741123564
31,whitewater,42.8336,-88.7323,7.78,100,100,5.73,US,1741123566
32,cabo san lucas,22.8909,-109.9124,23.2,49,20,2.68,MX,1741123526
33,lebu,-37.6167,-73.65,18.67,79,1,2.95,CL,1741123568
34,ola,59.5833,151.2833,-18.35,96,100,4.07,RU,1741123569
35,grytviken,-54.2811,-36.5092,6.73,77,12,6.87,GS,1741123571
36,puerto armuelles,8.2833,-82.8667,28.94,58,4,3.58,PA,1741123572
37,crucecita,-28.95,-58.9833,38.02,23,52,5.17,AR,1741123573
38,olonkinbyen,70.9221,-8.7187,-1.21,87,100,11.18,SJ,1741123503
39,taltal,-25.4,-70.4833,19.53,71,32,1.1,CL,1741123575
40,flying fish cove,-10.4217,105.6791,26.82,89,97,3.09,CX,1741123577
41,carutapera,-1.195,-46.02,24.44,93,100,3.78,BR,1741123578
42,port alfred,-33.5906,26.891,21.88,87,85,1.69,ZA,1741123579
43,georgievka,49.3314,81.5761,-12.66,86,62,3.0,KZ,1741123283
44,selfoss,63.9331,-20.9971,0.58,83,100,15.83,IS,1741123583
45,chonchi,-42.6128,-73.8092,15.43,50,91,2.94,CL,1741123584
46,christchurch,-43.5333,172.6333,11.85,79,75,4.63,NZ,1741123585
47,sandy,40.572,-111.8606,9.96,44,81,3.13,US,1741123586
48,urangan,-25.3,152.9,22.81,70,43,5.96,AU,1741123588
49,adamstown,-25.066,-130.1015,25.59,77,13,6.24,PN,1741123589
50,invercargill,-46.4,168.35,11.12,77,3,2.24,NZ,1741123590
51,lompoc,34.6391,-120.4579,18.41,66,0,7.2,US,1741123592
52,edinburgh of the seven seas,-37.0676,-12.3116,13.86,62,31,4.55,SH,1741123593
53,whitehorse,60.7161,-135.0538,1.72,68,20,2.06,CA,1741123594
54,namibe,-15.1961,12.1522,23.16,81,83,1.26,AO,1741123595
55,saipan,15.1355,145.701,26.39,89,100,8.75,MP,1741123440
56,murzuq,25.9155,13.9184,17.04,28,100,3.74,LY,1741123598
57,piedmont,37.8244,-122.2316,13.7,70,100,3.09,US,1741123430
58,port mathurin,-19.6833,63.4167,27.8,77,50,8.15,MU,1741123600
59,khandyga,62.6667,135.6,-34.78,100,100,0.89,RU,1741123601
60,touros,-5.1989,-35.4608,27.02,74,83,5.12,BR,1741123603
61,tura,25.5198,90.2201,17.38,28,0,2.27,IN,1741123604
62,puerto natales,-51.7236,-72.4875,10.25,81,100,3.6,CL,1741123351
63,barranca,-10.75,-77.7667,25.11,71,82,5.05,PE,1741123607
64,albany,42.6001,-73.9662,8.69,44,100,1.79,US,1741123608
65,esmeralda,21.8525,-78.1169,28.63,53,56,5.89,CU,1741123609
66,nabire,-3.3667,135.4833,24.11,95,100,1.17,ID,1741123611
67,spanish wells,26.323,-81.7957,27.23,62,75,7.2,US,1741123613
68,nemuro,43.3236,145.575,-4.78,63,100,1.03,JP,1741123614
69,tazovsky,67.4667,78.7,-11.84,95,100,3.28,RU,1741123616
70,jamestown,42.097,-79.2353,14.8,23,0,3.6,US,1741123617
71,nacozari de garcia,30.3742,-109.6908,16.49,20,0,2.34,MX,1741123618
72,moires,35.0532,24.8744,10.12,77,22,0.82,GR,1741123620
73,west plains,36.7281,-91.8524,10.05,86,100,3.58,US,1741123621
74,happy valley-goose bay,53.3168,-60.3315,-8.83,57,75,4.12,CA,1741123622
75,margaret river,-33.95,115.0667,12.04,73,0,5.31,AU,1741123624
76,ancud,-41.8697,-73.8203,14.6,67,93,2.96,CL,1741123625
77,east london,-33.0153,27.9116,23.83,91,79,3.91,ZA,1741123626
78,papatowai,-46.5619,169.4708,11.3,53,11,1.28,NZ,1741123631
79,bethel,41.3712,-73.414,8.42,71,92,1.34,US,1741123632
80,el idrissia,34.4454,2.5275,7.93,89,98,8.45,DZ,1741123633
81,mochudi,-24.4167,26.15,22.33,54,94,1.34,BW,1741123635
82,santiago de cao,-7.9589,-79.2392,25.07,78,40,5.66,PE,1741123636
83,bredasdorp,-34.5322,20.0403,21.76,85,85,2.89,ZA,1741123638
84,college,64.8569,-147.8028,1.16,61,20,3.09,US,1741123640
85,fisterra,42.9049,-9.2629,13.02,84,17,7.39,ES,1741123641
86,bin yauri,10.7823,4.8114,33.35,14,29,2.28,NG,1741123642
87,manta,-0.95,-80.7333,27.88,83,40,6.69,EC,1741123645
88,ribeira grande,38.5167,-28.7,16.22,88,75,3.6,PT,1741123646
89,avarua,-21.2078,-159.775,26.03,89,100,3.09,CK,1741123647
90,enewetak,11.3474,162.3373,26.94,77,23,9.09,MH,1741123649
91,alpena,45.0617,-83.4327,4.18,97,100,2.57,US,1741123650
92,punta arenas,-53.15,-70.9167,9.06,87,40,7.2,CL,1741123651
93,brookings,44.3114,-96.7984,-1.0,87,100,12.35,US,1741123572
94,hithadhoo,-0.6,73.0833,27.93,73,48,3.66,MV,1741123654
95,pangody,65.85,74.4859,-11.06,97,91,3.36,RU,1741123655
96,new norfolk,-42.7826,147.0587,15.95,85,2,1.32,AU,1741123656
97,fortaleza,-3.7227,-38.5247,27.34,89,20,2.06,BR,1741123396
98,port elizabeth,-33.918,25.5701,20.73,99,0,2.68,ZA,1741123659
99,tucumcari,35.1717,-103.725,11.91,35,100,8.8,US,1741123661
100,ash shafa,21.0694,40.3119,9.86,70,2,1.71,SA,1741123663
101,dudinka,69.4058,86.1778,-16.29,96,100,4.84,RU,1741123664
102,puerto leguizamo,-0.1934,-74.7819,29.88,63,100,1.75,CO,1741123665
103,fauske,67.2588,15.3918,-2.82,81,100,4.25,NO,1741123667
104,dryden,49.7833,-92.7503,-2.84,74,100,3.09,CA,1741123668
105,vorkuta,67.5,64.0,-19.24,100,99,1.55,RU,1741123671
106,camana,-16.6228,-72.7111,22.78,81,74,3.04,PE,1741123672
107,eskilstuna,59.3666,16.5077,6.52,85,100,6.66,SE,1741123673
108,utrik,11.2278,169.8474,26.73,78,6,8.82,MH,1741123675
109,chui,-33.6971,-53.4616,29.3,65,0,5.16,UY,1741123394
110,herzberg,51.6869,13.2202,4.09,70,0,2.54,DE,1741123677
111,puerto ayora,-0.7393,-90.3518,26.97,94,98,3.58,EC,1741123678
112,belokany,41.7258,46.4083,4.05,64,74,3.26,AZ,1741123680
113,beloyarskiy,63.7119,66.6722,-9.07,96,100,2.04,RU,1741123681
114,lubu,23.1742,112.2809,16.97,84,100,1.59,CN,1741123682
115,bilibino,68.0546,166.4372,-33.27,95,29,0.69,RU,1741123684
116,varna,43.2167,27.9167,2.71,86,0,1.03,BG,1741123685
117,trondheim,63.4305,10.3951,6.03,94,100,2.68,NO,1741123686
118,fonte boa,-2.4959,-66.2662,29.93,69,95,0.27,BR,1741123687
119,santa maria,-29.6842,-53.8069,32.61,62,0,3.09,BR,1741123689
120,kristiansund,63.1115,7.732,8.4,81,75,12.86,NO,1741123690
121,usinsk,65.9939,57.5281,-8.56,94,100,4.72,RU,1741123692
122,jincheng,35.5022,112.8328,1.21,75,49,1.01,CN,1741123693
123,tobelo,1.7284,128.0095,27.1,84,100,2.37,ID,1741123694
124,manay,7.215,126.5397,23.9,85,74,2.2,PH,1741123695
125,thompson,55.7435,-97.8558,-8.91,62,75,3.6,CA,1741123474
126,at taj,24.2049,23.2857,15.3,34,78,4.53,LY,1741123698
127,point pedro,9.8167,80.2333,25.87,79,100,3.02,LK,1741123699
128,ust-nera,64.5667,143.2,-25.97,98,100,2.72,RU,1741123701
129,cole harbour,44.6724,-63.4751,0.66,69,75,8.23,CA,1741123702
130,santa ana,33.7456,-117.8678,20.76,47,20,5.66,US,1741123703
131,ghat,24.9647,10.1728,21.12,18,100,1.18,LY,1741123704
132,ascencion de guarayos,-15.8963,-63.1881,24.64,97,82,1.74,BO,1741123706
133,saint-pierre,-21.3393,55.4781,27.82,69,75,1.03,RE,1741123707
134,hawaiian paradise park,19.5933,-154.9731,23.74,90,100,3.6,US,1741123708
135,anadyr,64.75,177.4833,-27.72,76,0,3.0,RU,1741123711
136,hadibu,12.65,54.0333,24.86,76,30,4.7,YE,1741123712
137,iskateley,67.6803,53.1512,-4.7,90,100,5.17,RU,1741123713
138,ylitornio,66.3089,23.6773,-10.53,95,72,0.85,FI,1741123715
139,trujillo,-8.116,-79.03,24.98,78,40,5.66,PE,1741123716
140,hasaki,35.7333,140.8333,12.16,83,100,10.38,JP,1741123718
141,talnakh,69.4865,88.3972,-19.27,97,100,3.96,RU,1741123719
142,choyr,46.3611,108.3611,-7.37,68,100,0.73,MN,1741123720
143,hilo,19.7297,-155.09,23.86,93,100,3.6,US,1741123598
144,port blair,11.6667,92.75,24.02,94,52,1.03,IN,1741123723
145,umba,66.6871,34.3429,-5.6,97,89,1.38,RU,1741123724
146,hamilton,39.1834,-84.5333,18.97,23,0,7.72,US,1741123725
147,kurkino,53.4257,38.6582,0.64,98,100,7.29,RU,1741123727
148,newnham,-41.3833,147.1333,15.53,88,20,1.54,AU,1741123728
149,solwezi,-12.1688,26.3894,16.58,96,80,1.67,ZM,1741123731
150,manakara,-22.1333,48.0167,26.47,90,100,3.56,MG,1741123732
151,labytnangi,66.6572,66.4183,-14.57,98,100,0.19,RU,1741123734
152,georgetown,5.4112,100.3354,27.96,78,20,1.03,MY,1741123735
153,antalaha,-14.9003,50.2788,24.64,88,73,1.4,MG,1741123736
154,alesund,62.4723,6.1549,8.52,82,75,12.35,NO,1741123455
155,praia da vitoria,38.7333,-27.0667,16.14,88,40,2.92,PT,1741123739
156,sur,22.5667,59.5289,20.35,61,0,2.17,OM,1741123740
157,firuzabad,28.8438,52.5707,9.79,75,100,0.43,IR,1741123742
158,san juan de miraflores,-12.1629,-76.9635,23.29,73,57,4.09,PE,1741123485
159,jwaneng,-24.6004,24.7303,23.87,58,53,2.88,BW,1741123744
160,saint-denis,48.9167,2.3333,7.86,78,0,1.03,FR,1741123744
161,callaway,30.153,-85.5699,23.96,71,0,13.38,US,1741123471
162,udachny,66.4167,112.4,-40.95,99,41,1.43,RU,1741123748
163,dhidhdhoo,6.8833,73.1,27.94,76,92,4.04,MV,1741123749
164,marquette,46.5333,-87.6335,0.69,97,100,0.45,US,1741123750
165,cockburn town,21.4612,-71.1419,24.51,78,70,10.47,TC,1741123752
166,chegdomyn,51.1167,133.0167,-21.43,100,100,0.14,RU,1741123753
167,the pas,53.8251,-101.2541,-4.99,58,100,4.63,CA,1741123754
168,kotabumi,-4.8333,104.9,23.47,97,100,2.05,ID,1741123755
169,fort bragg,35.139,-79.006,20.91,47,75,5.14,US,1741123757
170,darwin,-12.4611,130.8418,26.99,94,20,1.54,AU,1741123758
171,sola,-13.8833,167.55,28.37,84,75,0.0,VU,1741123760
172,acajutla,13.5928,-89.8275,30.35,57,4,5.33,SV,1741123761
173,toguchin,55.2353,84.3858,-9.08,94,100,3.09,RU,1741123762
174,alotau,-10.3069,150.4462,26.19,91,100,2.13,PG,1741123763
175,qaqortoq,60.7167,-46.0333,-19.75,75,0,2.24,GL,1741123765
176,moranbah,-22.0016,148.0466,24.47,70,0,0.34,AU,1741123766
177,selkirk,50.1436,-96.8845,-4.34,78,100,4.92,CA,1741123767
178,mont-laurier,46.5501,-75.4993,0.32,100,100,2.44,CA,1741123669
179,tiksi,71.6872,128.8694,-31.76,100,87,1.67,RU,1741123770
180,muisne,0.6,-80.0333,26.23,80,100,1.85,EC,1741123771
181,geraldton,-28.7667,114.6,18.23,72,3,4.63,AU,1741123674
182,colonia,50.9333,6.95,6.65,61,1,1.89,DE,1741123551
183,inhambane,-23.865,35.3833,25.07,89,6,3.67,MZ,1741123775
184,campbellton,48.0075,-66.6727,-6.75,88,100,3.23,CA,1741123777
185,bansi,27.1833,82.9333,17.08,30,0,6.07,IN,1741123778
186,anloga,5.7947,0.8973,28.0,81,97,4.08,GH,1741123779
187,atafu village,-8.5421,-172.5159,27.98,72,100,4.39,TK,1741123781
188,qamdo,31.1667,97.2333,-2.75,58,16,2.54,CN,1741123782
189,island harbour,50.724,-1.2758,4.55,89,0,1.66,GB,1741123783
190,kabare,-2.4683,28.8242,17.12,93,90,0.47,CD,1741123785
191,imbituba,-28.24,-48.6703,25.7,75,0,8.8,BR,1741123786
192,impfondo,1.6381,18.0667,26.06,51,10,0.55,CG,1741123788
193,saint-philippe,-21.3585,55.7679,26.76,83,35,7.22,RE,1741123789
194,sinop,41.7711,34.8709,-0.77,90,8,4.08,TR,1741123791
195,itoman,26.1247,127.6694,19.21,94,100,3.09,JP,1741123792
196,keflavik,64.0049,-22.5624,1.24,93,100,12.86,IS,1741123793
197,dunedin,-45.8742,170.5036,12.67,66,29,1.34,NZ,1741123794
198,san rafael del sur,11.8485,-86.4384,33.62,40,19,2.24,NI,1741123796
199,vernon,50.2581,-119.2691,8.75,56,100,1.03,CA,1741123797
200,aracena,37.894,-6.5612,8.82,93,100,1.76,ES,1741123798
201,san luis de la loma,17.2706,-100.8939,28.41,56,2,4.15,MX,1741123800
202,bad ems,50.3333,7.7167,2.29,70,3,1.05,DE,1741123801
203,la ronge,55.1001,-105.2842,4.14,45,40,4.63,CA,1741123802
204,maysville,38.6412,-83.7444,19.72,20,0,6.17,US,1741123566
205,lihue,21.9789,-159.3672,26.77,65,20,8.75,US,1741123805
206,mermoz boabab,14.7065,-17.4758,18.88,82,0,5.14,SN,1741123806
207,tuy hoa,13.0833,109.3,21.81,90,95,1.3,VN,1741123807
208,santana,-0.0583,-51.1817,26.1,94,100,5.14,BR,1741123809
209,praya,14.9215,-23.5087,20.3,60,75,4.63,CV,1741123810
210,balsas,-7.5325,-46.0356,25.75,80,55,1.8,BR,1741123812
211,bac lieu,9.285,105.7244,24.96,85,94,1.44,VN,1741123813
212,altay,47.8667,88.1167,-9.33,97,100,0.66,CN,1741123814
213,rio grande,-32.035,-52.0986,25.66,82,0,6.51,BR,1741123816
214,leticia,-4.2153,-69.9406,27.03,89,75,3.58,CO,1741123664
215,bamboo flat,11.7,92.7167,24.05,94,58,1.03,IN,1741123818
216,labrador city,52.9463,-66.9114,-10.05,44,100,4.12,CA,1741123820
217,kailua-kona,19.6406,-155.9956,28.49,63,20,5.14,US,1741123822
218,jawhar,2.7809,45.5005,25.1,83,38,5.49,SO,1741123823
219,carnarvon,-24.8667,113.6333,27.82,60,23,8.2,AU,1741123825
220,kourou,5.1552,-52.6478,24.31,89,66,2.81,GF,1741123826
221,kodiak,57.79,-152.4072,3.73,100,100,4.12,US,1741123827
222,genhe,50.7833,121.5167,-16.76,99,99,0.3,CN,1741123829
223,salalah,17.0151,54.0924,26.05,69,40,3.09,OM,1741123783
224,vilyuchinsk,52.9306,158.4028,-4.85,84,100,5.48,RU,1741123831
225,macedonia,41.3137,-81.5085,17.38,29,38,4.72,US,1741123834
226,saint-joseph,-21.3667,55.6167,27.21,83,17,4.82,RE,1741123835
227,alice town,25.7167,-79.3,22.92,77,69,12.14,BS,1741123836
228,akureyri,65.6835,-18.0878,-1.04,69,75,5.14,IS,1741123838
229,paramonga,-10.6667,-77.8333,24.84,76,74,4.8,PE,1741123839
230,melfort,52.8667,-104.6177,1.07,64,97,4.12,CA,1741123841
231,alice springs,-23.7,133.8833,20.75,28,0,2.57,AU,1741123842
232,ostersund,63.1792,14.6357,0.9,95,20,7.72,SE,1741123844
233,tsiombe,-25.3,45.4833,23.5,94,98,0.72,MG,1741123845
234,la'ie,21.6477,-157.9253,25.66,73,14,5.36,US,1741123848
235,raduzhny,62.0961,77.475,-16.36,100,97,2.18,RU,1741123849
236,morondava,-20.2833,44.2833,26.11,78,52,0.8,MG,1741123850
237,mount isa,-20.7333,139.5,20.87,68,0,1.03,AU,1741123851
238,la plata,-34.9215,-57.9545,25.18,80,99,3.74,AR,1741123853
239,mana,5.6592,-53.7767,25.34,83,9,3.96,GF,1741123854
240,tarboro,35.8968,-77.5358,19.0,42,75,4.12,US,1741123821
241,axim,4.8699,-2.2405,27.21,85,100,4.11,GH,1741123857
242,crane,31.3974,-102.3501,21.41,12,1,10.94,US,1741123858
243,lebyazh'ye,55.2689,66.4947,-12.11,96,99,3.93,RU,1741123859
244,eenhana,-17.4667,16.3333,20.59,89,99,1.39,NA,1741123862
245,iquitos,-3.7481,-73.2472,27.02,83,75,1.54,PE,1741123864
246,aasiaat,68.7098,-52.8699,-25.09,96,94,2.48,GL,1741123865
247,bereznik,62.8551,42.7072,-2.39,97,100,2.37,RU,1741123866
248,porbandar,21.6422,69.6093,20.93,21,1,4.45,IN,1741123868
249,itaituba,-4.2761,-55.9836,26.09,89,20,3.6,BR,1741123869
250,vorgashor,67.5833,63.95,-19.56,99,98,1.75,RU,1741123870
251,luderitz,-26.6481,15.1594,18.49,80,0,4.79,NA,1741123872
252,brisas de zicatela,15.8369,-97.0419,30.29,74,20,6.17,MX,1741123873
253,portland,45.5234,-122.6762,13.33,74,75,7.72,US,1741123849
254,hobyo,5.3505,48.5268,25.62,77,40,7.38,SO,1741123876
255,mossel bay,-34.1831,22.146,21.14,90,64,2.82,ZA,1741123877
256,fallon,39.4735,-118.7774,12.28,33,75,0.45,US,1741123878
257,vadso,70.0744,29.7487,-1.91,100,75,3.09,NO,1741123880
258,mount gambier,-37.8333,140.7667,18.41,55,0,2.72,AU,1741123883
259,porto novo,6.4965,2.6036,28.9,80,100,4.75,BJ,1741123884
260,las tablas,7.7667,-80.2833,31.21,99,62,3.47,PA,1741123885
261,nagqu,31.5,92.0,-4.82,10,0,8.15,CN,1741123886
262,vila franca do campo,37.7167,-25.4333,14.23,83,89,1.03,PT,1741123888
263,cill airne,52.05,-9.5167,6.93,90,100,2.8,IE,1741123890
264,breves,-1.6822,-50.4803,24.07,96,88,2.36,BR,1741123892
265,freeport,40.6576,-73.5832,9.07,73,0,9.26,US,1741123896
266,plastun,44.7561,136.2939,-6.2,63,100,1.33,RU,1741123897
267,cacocum,20.7374,-76.3279,29.18,51,40,7.2,CU,1741123899
268,soto la marina,23.7667,-98.2167,35.08,20,19,8.7,MX,1741123900
269,jose de freitas,-4.7564,-42.5756,23.98,94,85,2.86,BR,1741123822
270,walvis bay,-22.9575,14.5053,17.53,88,64,2.57,NA,1741123903
271,kudahuvadhoo,2.6708,72.8944,27.42,71,20,0.63,MV,1741123906
272,nar'yan-mar,67.6713,53.087,-5.99,93,100,5.36,RU,1741123909
273,teluk nibung,3.001,99.8164,23.65,96,100,1.22,ID,1741123885
274,ta`u,-14.2336,-169.5144,26.95,76,82,2.45,AS,1741123912
